"Story","Title","Result","Date","Stability","Duration (s)"
"Weather Information","Consult weather information by latitude and longitude","SUCCESS","2023-08-05T19:52:57.119-05:00[America/Bogota]","0.0","0.14"
"Weather Information","Weather co-consultation for a non-existent city","ERROR","2023-08-05T20:29:42.307-05:00[America/Bogota]","0.0","0.14"
"Weather Information","Connsult weather information with empty city","SUCCESS","2023-08-05T20:39:47.074-05:00[America/Bogota]","0.0","0.22"
"Weather Information","Consult  weather information with empty  latitude and longitude","ERROR","2023-08-05T20:44:24.535-05:00[America/Bogota]","0.0","0.14"
"Weather Information","Consult  weather information with empty  latitude","ERROR","2023-08-05T21:09:31.086-05:00[America/Bogota]","0.0","0.14"
"Weather Information","Successful consult weather information by name of city","SUCCESS","2023-08-05T21:16:34.639-05:00[America/Bogota]","0.0","2.14"
"Weather Information","Successful consult weather information by name of city","SUCCESS","2023-08-05T21:16:34.639-05:00[America/Bogota]","0.0","2.14"
"Weather Information","Consult weather information with empty city","SUCCESS","2023-08-05T21:16:36.782-05:00[America/Bogota]","0.0","0.13"
"Weather Information","Successful consult  weather information by latitude and longitude","SUCCESS","2023-08-05T21:16:36.915-05:00[America/Bogota]","0.0","0.27"
"Weather Information","Successful consult  weather information by latitude and longitude","SUCCESS","2023-08-05T21:16:36.915-05:00[America/Bogota]","0.0","0.27"
"Weather Information","Consult  weather information with empty latitud","SUCCESS","2023-08-05T21:16:37.183-05:00[America/Bogota]","0.0","0.27"
"Weather Information","Consult  weather information with empty latitud","SUCCESS","2023-08-05T21:16:37.183-05:00[America/Bogota]","0.0","0.27"
"Weather Information","Consult  weather information with empty longitude","SUCCESS","2023-08-05T21:16:37.459-05:00[America/Bogota]","0.0","0.13"
"Weather Information","Successful consult of weather information in Json format","SUCCESS","2023-08-05T21:16:37.59-05:00[America/Bogota]","0.0","0.13"
"Weather Information","Successful consult of weather information in XML format","SUCCESS","2023-08-05T21:16:37.724-05:00[America/Bogota]","0.0","0.14"
